set,course,specialization,strategy_type,course_required
Fall Elective Set 1,Operations Strategy,Management of Technology and Operations,N,N
Fall Elective Set 1,Private Equity,Banking,N,N
Fall Elective Set 1,Private Equity,Corporate Finance,N,N
Fall Elective Set 1,Private Equity,Finance,N,N
Fall Elective Set 1,Private Equity,Financial Instruments and Markets,N,N
Fall Elective Set 1,Private Equity,Strategy,S2,N
Fall Elective Set 1,Managing Change,Healthcare,N,N
Fall Elective Set 1,Managing Change,Leadership and Change Management,N,N
Fall Elective Set 1,Managing Change,Management,N,N
Fall Elective Set 1,Managing Change,Strategy,S2,N
Fall Elective Set 1,Social Entrepreneurship,Entrepreneurship and Innovation,N,N
Fall Elective Set 1,Social Entrepreneurship,Management,N,N
Fall Elective Set 1,Social Entrepreneurship,Sustainable Business and Innovation,N,N
Fall Elective Set 2,Real Estate Investment Strategy,Finance,N,N
Fall Elective Set 2,Real Estate Investment Strategy,Financial Instruments and Markets,N,N
Fall Elective Set 2,Decision Models and Analytics,FinTech,N,N
Fall Elective Set 2,Decision Models and Analytics,Management,N,N
Fall Elective Set 2,Decision Models and Analytics,Management of Technology and Operations,N,N
Fall Elective Set 2,Behavioral Finance and Market Psychology,Banking,N,N
Fall Elective Set 2,Behavioral Finance and Market Psychology,Corporate Finance,N,N
Fall Elective Set 2,Behavioral Finance and Market Psychology,Finance,N,N
Fall Elective Set 2,Behavioral Finance and Market Psychology,Financial Instruments and Markets,N,N
Fall Elective Set 2,Behavioral Finance and Market Psychology,FinTech,N,N
Fall Elective Set 2,Crisis Management,Leadership and Change Management,N,N
Fall Elective Set 2,Crisis Management,Management,N,N
Fall Elective Set 3,Corporate Governance,Leadership and Change Management,N,N
Fall Elective Set 3,Corporate Governance,Management,N,N
Fall Elective Set 3,Corporate Governance,Sustainable Business and Innovation,N,N
Fall Elective Set 3,Corporate Governance,Strategy,S1,N
Fall Elective Set 3,Climate Finance,Banking,N,N
Fall Elective Set 3,Climate Finance,Corporate Finance,N,N
Fall Elective Set 3,Climate Finance,Economics,N,N
Fall Elective Set 3,Climate Finance,Finance,N,N
Fall Elective Set 3,Climate Finance,Financial Instruments and Markets,N,N
Fall Elective Set 3,Climate Finance,Global Business,N,N
Fall Elective Set 3,Climate Finance,Sustainable Business and Innovation,N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Artificial Intelligence,N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Brand Management,N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,"Entertainment, Media, and Technology",N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Entrepreneurship and Innovation,N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Management of Technology and Operations,N,N
Fall Elective Set 3,Emerging Technology and Business Innovation,Strategy,S2,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media",Brand Management,N,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media","Entertainment, Media, and Technology",N,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media",Marketing,N,N
Fall Elective Set 3,"Technology, Innovation, and Disruption in Media",Management of Technology and Operations,N,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Banking,N,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Corporate Finance,N,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Finance,N,N
Fall Elective Set 4,"Turnaround, Restructuring, & Distressed Investing",Financial Instruments and Markets,N,N
Fall Elective Set 4,The Financial Services Industry,Banking,N,N
Fall Elective Set 4,The Financial Services Industry,Corporate Finance,N,N
Fall Elective Set 4,The Financial Services Industry,Finance,N,N
Fall Elective Set 4,The Financial Services Industry,Financial Instruments and Markets,N,N
Fall Elective Set 4,Game Theory,Economics,N,N
Fall Elective Set 4,Game Theory,Management,N,N
Fall Elective Set 4,Game Theory,Strategy,S1,N
Fall Elective Set 4,Brand Strategy*,Brand Management,N,Y
Fall Elective Set 4,Brand Strategy*,Marketing,N,N
Spring Elective Set 1,Global Immersion Experience II (Spring),Global Business,N,N
Spring Elective Set 1,"Collaboration, Conflict and Negotiation (Spring)",Leadership and Change Management,N,N
Spring Elective Set 1,"Collaboration, Conflict and Negotiation (Spring)",Management,N,N
Spring Elective Set 1,Conquering High Stakes Communication (Spring),Leadership and Change Management,N,N
Spring Elective Set 2,Consumer Behavior,Brand Management,N,N
Spring Elective Set 2,Consumer Behavior,Marketing,N,N
Spring Elective Set 2,Healthcare Markets,Economics,N,N
Spring Elective Set 2,Healthcare Markets,Healthcare,N,N
Spring Elective Set 2,Managing a High Tech Company: The CEO Perspective,"Entertainment, Media, and Technology",N,N
Spring Elective Set 2,Managing a High Tech Company: The CEO Perspective,Management,N,N
Spring Elective Set 2,Managing a High Tech Company: The CEO Perspective,Management of Technology and Operations,N,N
Spring Elective Set 2,Managing a High Tech Company: The CEO Perspective,Strategy,S2,N
Spring Elective Set 2,Mergers & Acquisitions,Corporate Finance,N,N
Spring Elective Set 2,Mergers & Acquisitions,Finance,N,N
Spring Elective Set 2,Mergers & Acquisitions,Leadership and Change Management,N,N
Spring Elective Set 2,Mergers & Acquisitions,Strategy,S1,N
Spring Elective Set 3,Corporate Finance,Corporate Finance,N,N
Spring Elective Set 3,Corporate Finance,Finance,N,N
Spring Elective Set 3,Foundations of Entrepreneurship*,Entrepreneurship and Innovation,N,Y
Spring Elective Set 3,Foundations of Entrepreneurship*,Management,N,N
Spring Elective Set 3,Foundations of Entrepreneurship*,Strategy,S1,N
Spring Elective Set 3,Human Rights and Business,Global Business,N,N
Spring Elective Set 3,Human Rights and Business,Sustainable Business and Innovation,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,Artificial Intelligence,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,Brand Management,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,FinTech,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,Healthcare,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,Marketing,N,N
Spring Elective Set 3,Analytics & Machine Learning for Managers*,Management of Technology and Operations,N,N
Spring Elective Set 4,Foundations of Fintech,Finance,N,N
Spring Elective Set 4,Foundations of Fintech,FinTech,N,N
Spring Elective Set 4,The Business of Health & Medical Care,Economics,N,N
Spring Elective Set 4,The Business of Health & Medical Care,Healthcare,N,N
Spring Elective Set 4,The Business of Health & Medical Care,Strategy,S2,N
Spring Elective Set 4,Pricing,Brand Management,N,N
Spring Elective Set 4,Pricing,Marketing,N,N
Spring Elective Set 4,Pricing,Management of Technology and Operations,N,N
Spring Elective Set 4,Foundations of AI Agents*,Artificial Intelligence,N,N
Spring Elective Set 4,Foundations of AI Agents*,Management of Technology and Operations,N,N
Spring Elective Set 5,Sustainability for Competitive Advantage*,Leadership and Change Management,N,N
Spring Elective Set 5,Sustainability for Competitive Advantage*,Sustainable Business and Innovation,N,Y
Spring Elective Set 5,Sustainability for Competitive Advantage*,Strategy,S1,N
Spring Elective Set 5,Consulting Practice: Process and Problem Solving,Management,N,N
Spring Elective Set 5,Consulting Practice: Process and Problem Solving,Strategy,S1,N
Spring Elective Set 5,Global Strategy,Global Business,N,N
Spring Elective Set 5,Global Strategy,Management,N,N
Spring Elective Set 5,Global Strategy,Strategy,S1,N
Spring Elective Set 5,Business Models for Startups,Entrepreneurship and Innovation,N,N
Spring Elective Set 5,Business Models for Startups,Strategy,S2,N
Summer Elective Set 1,Global Immersion Experience II (Summer),Global Business,N,N
Summer Elective Set 1,"Collaboration, Conflict and Negotiation (Summer)",Leadership and Change Management,N,N
Summer Elective Set 1,"Collaboration, Conflict and Negotiation (Summer)",Management,N,N
Summer Elective Set 1,Conquering High Stakes Communication (Summer),Leadership and Change Management,N,N
Summer Elective Set 2,Entertainment and Media Industries*,"Entertainment, Media, and Technology",N,Y
Summer Elective Set 2,Entertainment and Media Industries*,Marketing,N,N
Summer Elective Set 2,Entertainment and Media Industries*,Strategy,S2,N
Summer Elective Set 2,"Digital Marketing Strategy in Practice (Formerly ""Social Media and Mobile Technology"")",Brand Management,N,N
